id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
42515,https://www.airbnb.com/rooms/42515,20240926145735,2024-09-26,city scrape,Geneva center - Hosting females,,,https://a0.muscache.com/pictures/10640277/ff1da5fd_original.jpg,185647,https://www.airbnb.com/users/show/185647,Noelle,2010-07-30,"Geneva, Switzerland","Hi, I am a Management consultant professional, working with multinational and Big 4 firms as Program Manager / Strategy alignment / Business Analyst and Project Management Office (PMO) manager.  
I love living in the center of the city, where there are loads of cultural events, parks,  the lake to enjoy and do biking, jogging, walking, saying, skiing , etc.  

It is also a pleasant experience to share and get to know another culture. ",within a few hours,100%,88%,t,https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Commune de Genève,,46.20198,6.15672,Private room in rental unit,Private room,1,1.5,1.5 shared baths,1,1,"[""Kitchen"", ""Refrigerator"", ""Bathtub"", ""Dishes and silverware"", ""Hair dryer"", ""TV with standard cable"", ""Hangers"", ""Elevator"", ""Shared hot tub"", ""Paid washer \u2013 In building"", ""Dryer"", ""Oven"", ""Iron"", ""Host greets you"", ""Cooking basics"", ""Heating"", ""Stove"", ""Wifi"", ""Essentials"", ""Hot water""]",$89.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,28,58,88,363,2024-09-26,78,6,0,2011-09-24,2024-06-29,4.74,4.72,4.78,4.85,4.84,4.85,4.54,,f,1,0,1,0,0.49
203997,https://www.airbnb.com/rooms/203997,20240926145735,2024-09-26,city scrape,Top location studio 1 block from lake!,"Spacious studio with washer/dryer, Wi-fi, supermarket and gym in the same building, cleaner + ironing, cable HDTV, everything you need! Great public transport to UN, IO's, bus stop on your doorstep and the lake just a stone's throw away.","This is the most sought after area in Geneva: the lake is practically on your doorstep, with a boat taxi (2chf/ride) taking you to the other side of the lake. You can run or roll along the promenade; there's a free bike rental offered by the city a stone's throw from the flat, by the Jardin Anglais. Chill out in the Bodega Tapas Bar across the street, or go for Cocktails at the nearby l'Atelier. The following morning, have a vegetarian brunch at Clou de Giraffe or Pain Quotidien. Two much loved restaurants, Da Paolo and L'esquisse, are on the same street. I guarantee you won't be thirsty or hungry in this neighbourhood!",https://a0.muscache.com/pictures/14163740/9392557b_original.jpg,1001280,https://www.airbnb.com/users/show/1001280,Mike,2011-08-21,"Geneva, Switzerland","I love airbnb, both for hosting and traveling. I'm an easy going, independent guy who likes to explore the world, and watch a movie with a bottle of good wine.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_x_medium,,6,12,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.19964,6.1558,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,0,"[""Kitchen"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Hangers"", ""Elevator"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Shampoo"", ""Iron"", ""Host greets you"", ""Private entrance"", ""Heating"", ""Lake access"", ""Wifi"", ""Microwave"", ""Free washer \u2013 In unit"", ""Fire extinguisher"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Hot water""]",$165.00,5,730,5,5,1125,1125,5.0,1125.0,,t,0,25,55,55,2024-09-26,88,7,0,2012-11-11,2024-05-31,4.91,4.98,4.89,4.97,4.99,4.95,4.8,,t,2,2,0,0,0.61
276025,https://www.airbnb.com/rooms/276025,20240926145735,2024-09-26,city scrape,Lovely flat by Geneva lake,"This cozy flat is located in a very pleasant village, nearby Geneva lake, and near all facilities, such as groceries, trains, bus stops, banks, etc. It's perfect for a family with 2-3 children. Geneva center is at only 10 minutes by car/by train.","Versoix is a pretty fishing village, on the edge of Lake Geneva, just 10 km from the airport, the city center, Palexpo and international organizations. <br />We can see and hear sometimes planes, because the airport is 15 minutes away by car. But this is also an advantage because Versoix, like all the villages on the right bank, is close to everything, thanks to a very efficient public transport network.",https://a0.muscache.com/pictures/4156456/d3aed209_original.jpg,1442438,https://www.airbnb.com/users/show/1442438,Gaby,2011-11-25,"Geneva, Switzerland","Hi, my name is Gaby! I'm a globetrotter. I speak Italian, French, English and Spanish. I understand a bit Portuguese too. I visited a lot of countries and I have a big experience about travelling and housing. 
I'd be very glad to help you and visit Switzerland. Geneva is such a nice city. Come and discover this lovely country. ",within a few hours,100%,100%,t,https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Versoix, Geneva, Switzerland",Versoix,,46.28031,6.16833,Entire rental unit,Entire home/apt,3,1.0,1 bath,1,4,"[""Kitchen"", ""Baby bath"", ""Shared beach access"", ""Indoor fireplace"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Baking sheet"", ""Hot water kettle"", ""Children\u2019s books and toys"", ""Hangers"", ""Smoke alarm"", ""Cleaning products"", ""Baby safety gates"", ""Crib"", ""Free street parking"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Oven"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""Outdoor dining area"", ""High chair"", ""Freezer"", ""Cooking basics"", ""Heating"", ""Fire pit"", ""Books and reading material"", ""TV"", ""Lake access"", ""Stove"", ""Hot water"", ""Fireplace guards"", ""Portable fans"", ""Wifi"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Dining table"", ""BBQ grill"", ""Body soap"", ""Microwave"", ""Free dryer \u2013 In building"", ""Fire extinguisher"", ""Dishwasher"", ""Paid parking off premises"", ""Free washer \u2013 In building"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Bed linens"", ""Toaster"", ""Extra pillows and blankets""]",$78.00,7,360,7,7,1125,1125,7.0,1125.0,,t,11,41,71,346,2024-09-26,120,2,0,2012-03-15,2024-08-10,4.63,4.69,4.74,4.88,4.89,4.77,4.69,,f,1,1,0,0,0.79
338682,https://www.airbnb.com/rooms/338682,20240926145735,2024-09-26,city scrape,Top location 1 block from the lake!,"One bedroom apartment located in a pedestrian street one block from the lake. Bus stop around the corner, wi-fi, cleaning lady, washer/dryer and dishwasher... Perfect place to hit the ground running. Your home from home in Geneva. Welcome to Switz!","This is the favourite area for expats in Geneva. It's near the lake, has many bars and restaurants and even a few breakfast places nearby. With the lake practically on your doorstep, you're reminded each day what a nice city it is.",https://a0.muscache.com/pictures/14164129/db92c79b_original.jpg,1001280,https://www.airbnb.com/users/show/1001280,Mike,2011-08-21,"Geneva, Switzerland","I love airbnb, both for hosting and traveling. I'm an easy going, independent guy who likes to explore the world, and watch a movie with a bottle of good wine.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_x_medium,,6,12,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.20708,6.15545,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1,1,"[""Kitchen"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Elevator"", ""Courtyard view"", ""Shampoo"", ""Coffee maker"", ""Oven"", ""Iron"", ""40 inch HDTV with standard cable"", ""Cooking basics"", ""Heating"", ""Wifi"", ""Electric stove"", ""Dedicated workspace"", ""Lockbox"", ""Microwave"", ""Free washer \u2013 In unit"", ""Fire extinguisher"", ""Dishwasher"", ""Essentials"", ""Self check-in"", ""Free dryer \u2013 In unit"", ""Hot water"", ""Paid parking off premises""]",$157.00,5,365,5,5,1125,1125,5.0,1125.0,,t,0,11,41,41,2024-09-26,118,2,1,2012-03-02,2024-08-31,4.81,4.85,4.78,4.9,4.9,4.87,4.7,,t,2,2,0,0,0.77
399388,https://www.airbnb.com/rooms/399388,20240926145735,2024-09-26,city scrape,Nice modern bedroom with balcony,"Nice modern bedroom with confortable king size bed for one or two persons with direct access to a balcony facing a nice and calm green park. Enjoy the kitchen, the view and its proximity to beautifull old town Carouge and major tram and bus lines. ",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk5Mzg4/original/e9b8f14d-e019-4059-b0d2-9d998d53dc9d.jpeg,1994454,https://www.airbnb.com/users/show/1994454,Oscar,2012-03-23,"Geneva, Switzerland","I love sharing a spare room in my apartment to host people from around the world and share conversations, and experiences, and get to know them. I treat everyone that visits my place as a family member while giving them the intimacy and space they need.

You'll be sharing the apartment with me and my too gentile Italian water dogs (Holy and Zenya). 

I love making incredible vegetable smoothies in the morning, eating healthy living food, and great wines, going out on adventures, reading, meditation, and practicing outdoor sports like running, mountain trekking, surfing, and snowboarding, as well as going to the gym. 

In summary, I'm a pretty easygoing and positive guy who believes that everything that happens to me is the best possible thing that can happen. I love spending quality time with my friends and making new ones.",within an hour,100%,73%,t,https://a0.muscache.com/im/pictures/user/ebd3be38-988a-47cb-89b3-df1158052d7b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ebd3be38-988a-47cb-89b3-df1158052d7b.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone', 'work_email']",t,t,,Commune de Genève,,46.18904,6.13908,Private room in rental unit,Private room,2,1.0,1 shared bath,1,1,"[""Kitchen"", ""Room-darkening shades"", ""Lock on bedroom door"", ""Refrigerator"", ""Smoking allowed"", ""Bathtub"", ""Dishes and silverware"", ""Hair dryer"", ""Hot water kettle"", ""Hangers"", ""Elevator"", ""Shower gel"", ""Cleaning products"", ""Blender"", ""Dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Iron"", ""Patio or balcony"", ""Sun loungers"", ""Outdoor dining area"", ""Mountain view"", ""Host greets you"", ""Cooking basics"", ""Heating"", ""Coffee"", ""Wine glasses"", ""Pets allowed"", ""Stove"", ""Single level home"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Dining table"", ""Drying rack for clothing"", ""Microwave"", ""Paid parking off premises"", ""Clothing storage: wardrobe"", ""Essentials"", ""Paid parking on premises"", ""Long term stays allowed"", ""Outdoor furniture"", ""Washer"", ""Ethernet connection"", ""Window guards"", ""Outdoor playground"", ""Bed linens"", ""Free street parking"", ""Extra pillows and blankets""]",$48.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,25,56,2024-09-26,55,6,1,2012-07-15,2024-08-31,4.85,4.8,4.87,4.95,4.89,4.69,4.69,,f,2,0,2,0,0.37
411058,https://www.airbnb.com/rooms/411058,20240926145735,2024-09-26,city scrape,5th Sky (Downtown Geneva),"Unique & quiet attic loft located in Pâquis, the vibrant heart of Geneva, with an amazing view and a groovy host (LGBTIQ friendly). You can't be better located: about 150m away from the central station (Cornavin), 5mn from the lake side and 10mn from the airport, the UN HQ and Palexpo (Convention centre). The flat can be shared with me or rented entirely for an EXTRA cost. How cool is that? #Superhost ^_^","The Pâquis quarter is one of Geneva's most colourful, where you'll find an attractive array of boho boutiques, bistros, ethnic eateries, and nightclubs. It is one of the most vibrant ""neighbourhoods"" of Geneva, where you will meet people from all continents, scents from far and near, busy streets and quiet parks only a few blocks away from the lake.",https://a0.muscache.com/pictures/airflow/Hosting-411058/original/5e0aaac9-8a72-4f6b-9376-42d2413d2756.jpg,1706035,https://www.airbnb.com/users/show/1706035,Julik,2012-02-06,رام الله,"Hello traveler. I'm a humanist consultant working on different projects that gather people, languages & cultures. I was born in Geneva but grew up mainly in South America, Africa and the Middle East. Looking forward to seeing you around!

“All journeys have secret destinations of which the traveler is unaware.” ~ Martin Buber",within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-1706035/original/e1f410c6-09a3-47da-83f7-075d3ff84e7f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1706035/original/e1f410c6-09a3-47da-83f7-075d3ff84e7f.jpeg?aki_policy=profile_x_medium,,1,3,"['email', 'phone', 'work_email']",t,t,"Geneva, Switzerland",Commune de Genève,,46.21127,6.1454,Private room in loft,Private room,2,1.5,1.5 shared baths,1,1,"[""Kitchen"", ""Refrigerator"", ""First aid kit"", ""Dishes and silverware"", ""Hair dryer"", ""Hangers"", ""Elevator"", ""Shared hot tub"", ""Private living room"", ""Dryer"", ""Luggage dropoff allowed"", ""City skyline view"", ""Shampoo"", ""Coffee maker"", ""Oven"", ""Iron"", ""Mountain view"", ""Host greets you"", ""Cooking basics"", ""Heating"", ""Lake access"", ""Stove"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Fire extinguisher"", ""Dishwasher"", ""Paid parking off premises"", ""Paid parking on premises"", ""Essentials"", ""Washer"", ""Bed linens"", ""Free street parking"", ""Extra pillows and blankets""]",$125.00,2,7,2,2,7,7,2.0,7.0,,t,23,53,83,83,2024-09-26,55,2,0,2014-05-10,2024-05-30,4.78,4.83,4.85,4.94,4.96,4.89,4.63,,f,1,0,1,0,0.44
419631,https://www.airbnb.com/rooms/419631,20240926145735,2024-09-26,previous scrape,Beautiful Apm't in central Geneva (NB Guest Room),"Fabulous apartment with design interior in charming Geneva building with high ceilings and hardwood floors .<br />Left bank (Rive gauche) a 10 minute walk to the lake and jet d'eau, city center, shopping etc.<br />Surface area 190m2 with 7 rooms & 2 bathrooms (1st floor with elevator)<br /><br />Big Entrance<br />Dining Room<br />Living Room (with big sofa)<br />Play Room<br />Master Bedroom<br />Office<br />Guest Bedroom (double bed for GUEST)",Quiet yet very central<br /><br />N.B. If you have a car parking can be difficult in the evenings,https://a0.muscache.com/pictures/e591abb4-fc83-458b-b29a-edc859346567.jpg,2086993,https://www.airbnb.com/users/show/2086993,Mark,2012-04-07,"Geneva, Switzerland","I speak English, French, German and after 2 glasses of Spritz fluent Italian",within an hour,100%,94%,f,https://a0.muscache.com/im/users/2086993/profile_pic/1374756765/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2086993/profile_pic/1374756765/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'work_email']",t,t,"Geneva, Canton of Geneva, Switzerland",Commune de Genève,,46.1995,6.17308,Private room in rental unit,Private room,2,,1.5 baths,,,"[""Kitchen"", ""Lock on bedroom door"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""72 inch HDTV with Amazon Prime Video"", ""Hangers"", ""Elevator"", ""Fast wifi \u2013 92 Mbps"", ""Garden view"", ""Board games"", ""Indoor fireplace: wood-burning"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Oven"", ""Iron"", ""Cooking basics"", ""Private entrance"", ""Heating"", ""Shared patio or balcony"", ""Lake access"", ""Dedicated workspace"", ""Microwave"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Electrolux induction stove"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Hot water"", ""Free street parking""]",,2,14,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2024-09-26,81,9,0,2013-05-25,2024-06-17,4.94,4.98,5.0,4.99,4.99,4.86,4.91,,t,2,1,1,0,0.59
626512,https://www.airbnb.com/rooms/626512,20240926145735,2024-09-26,city scrape,Design apartment 2 blocks from lake,"Very well located, all commodities at walking distance. Fully refurbished with taste and always very clean.",Lots of restaurants and shops in the area. Lake is two blocks away,https://a0.muscache.com/pictures/10170754/3bfad7de_original.jpg,3110118,https://www.airbnb.com/users/show/3110118,Enrica,2012-07-31,"Geneva, Switzerland","I'm Italian, live in Geneva and love meeting interesting people from all the world :)
Airbnb is great, I use it myself when travelling  and would be very happy to welcome you in our flat in Geneva city center or our chalet in Chamonix!",within an hour,100%,77%,t,https://a0.muscache.com/im/pictures/user/7da2d214-19cf-4bd0-ae92-173c80760c53.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7da2d214-19cf-4bd0-ae92-173c80760c53.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Geneva, Switzerland",Commune de Genève,,46.2114,6.15107,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,2,"[""Kitchen"", ""Indoor fireplace"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Hangers"", ""Elevator"", ""Pocket wifi"", ""Free street parking"", ""Dryer"", ""Shampoo"", ""Coffee maker"", ""Oven"", ""Iron"", ""Host greets you"", ""Cooking basics"", ""Heating"", ""Lake access"", ""Stove"", ""Hot water"", ""Wifi"", ""Microwave"", ""Fire extinguisher"", ""Dishwasher"", ""Essentials"", ""Long term stays allowed"", ""Washer"", ""Ethernet connection"", ""Bed linens"", ""Carbon monoxide alarm""]",$110.00,10,700,10,10,700,700,10.0,700.0,,t,5,5,10,100,2024-09-26,50,11,1,2012-09-17,2024-08-31,4.98,4.96,4.98,5.0,4.98,4.82,4.74,,f,1,1,0,0,0.34
626831,https://www.airbnb.com/rooms/626831,20240926145735,2024-09-26,previous scrape,The Hamlet - Townhouse 6,,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjI2ODMx/original/12f63feb-461a-4f87-b705-3cfeb4cb8f24.jpeg,3111534,https://www.airbnb.com/users/show/3111534,The Hamlet,2012-07-31,"Geneva, Switzerland","Hi, my name is Anaëlle 
I very much look forward to welcoming you to one of our beautiful apartments in Geneva Old Town.
If you have any questions, just let me know.
Anaëlle ",N/A,N/A,100%,f,https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_x_medium,,16,19,"['email', 'phone', 'work_email']",t,f,,Commune de Genève,,46.19875,6.14861,Entire rental unit,Entire home/apt,2,,1 bath,1,,"[""Kitchen"", ""Iron"", ""Lockbox"", ""Hair dryer"", ""Air conditioning"", ""Heating"", ""Washer"", ""Self check-in"", ""Crib"", ""TV with standard cable"", ""Hangers"", ""Pets allowed"", ""Dryer"", ""Wifi"", ""Shampoo""]",,1,1125,1,1,99,99,1.0,99.0,,f,0,0,0,0,2024-09-26,3,0,0,2016-05-18,2017-06-05,4.33,4.67,4.67,5.0,5.0,4.67,4.33,,f,15,15,0,0,0.03
626971,https://www.airbnb.com/rooms/626971,20240926145735,2024-09-26,previous scrape,The Hamlet - Townhouse 10,,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjI2OTcx/original/7f12f335-c8d6-4d9b-a5ea-aa166f26b7cf.jpeg,3111534,https://www.airbnb.com/users/show/3111534,The Hamlet,2012-07-31,"Geneva, Switzerland","Hi, my name is Anaëlle 
I very much look forward to welcoming you to one of our beautiful apartments in Geneva Old Town.
If you have any questions, just let me know.
Anaëlle ",N/A,N/A,100%,f,https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78073596-87f9-4f2d-a1c2-c29268097ec9.jpg?aki_policy=profile_x_medium,,16,19,"['email', 'phone', 'work_email']",t,f,,Commune de Genève,,46.19871,6.14912,Entire rental unit,Entire home/apt,2,,1 bath,1,,"[""Kitchen"", ""Lockbox"", ""Heating"", ""Washer"", ""Self check-in"", ""Crib"", ""TV with standard cable"", ""Dryer"", ""Wifi""]",,1,1125,1,1,99,99,1.0,99.0,,f,0,0,0,0,2024-09-26,0,0,0,,,,,,,,,,,f,15,15,0,0,
